tree_id,voxel_size,voxel_index,z,y,x,world_x,world_y,world_z
tree_1_V_0164,0.02,201830,10,18,30,0.61,0.37,0.21
tree_1_V_0166,0.02,243628,12,36,28,0.5700000000000001,0.73,0.25
tree_1_V_0167,0.02,157446,7,174,46,0.93,3.49,0.15
tree_1_V_0168,0.02,175980,8,159,80,1.61,3.19,0.17
tree_1_V_0169,0.02,142271,7,22,71,1.43,0.45,0.15
tree_1_V_0170,0.02,165309,8,53,9,0.19,1.07,0.17
tree_1_V_0171,0.02,181864,9,18,64,1.29,0.37,0.19
tree_1_V_0173,0.02,175506,8,155,6,0.13,3.11,0.17
tree_1_V_0174,0.02,198570,9,185,70,1.41,3.71,0.19
tree_1_V_0177,0.02,241933,12,19,33,0.67,0.39,0.25
tree_1_V_0180,0.02,166232,8,62,32,0.65,1.25,0.17
tree_1_V_0181,0.02,220645,11,6,45,0.91,0.13,0.23
tree_1_V_0182,0.02,151498,7,114,98,1.97,2.29,0.15
